,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,split
TCGA-PE-A5DE,-0.19203664362430573,1.9543815851211548,0.7595496773719788,-0.31333062052726746,4.279546737670898,-0.30352532863616943,-1.4267470836639404,0.12114793807268143,-0.7711912393569946,-1.4398328065872192,train
TCGA-D8-A73W,0.28724098205566406,1.8613611459732056,0.2593373954296112,-1.3912131786346436,-1.6197445392608643,0.1116769090294838,-0.6309026479721069,-1.6391056776046753,-3.18611478805542,-2.3165314197540283,train
TCGA-BH-A1EU,-1.612877868369625,1.8432158945594448,0.13331328597707112,1.9480725726662296,-0.3306614865342213,-0.04514032610091203,0.7326807008733892,0.04212534860566422,-0.34723208409365514,-0.6070844444457758,test
TCGA-A2-A0T4,1.5664373876146038,1.527390207632746,-1.1307619094332149,1.7516636225081694,0.39207176909621694,0.08101720893482363,1.8771495826112303,-0.4453333718730738,0.7204034676322374,-0.05364886743160554,test
TCGA-AC-A3TM,1.0088797807693481,2.009279251098633,1.883135199546814,-0.3783801198005676,-0.33126696944236755,-0.31021350622177124,0.7042040228843689,2.1955978870391846,-1.4037245512008667,0.35315850377082825,train
TCGA-GM-A3NY,1.9402275085449219,2.0516228675842285,-1.8370800018310547,0.8539840579032898,-0.4024036228656769,-0.9555222392082214,1.2065585851669312,1.7080535888671875,-0.903343677520752,0.1907900869846344,train
TCGA-D8-A1XU,0.5509409461534654,1.6092545394545998,0.48766167503487634,-0.613725286427245,-1.0725780157305416,-0.4952406146398634,0.04065807607382491,0.15081895409644944,0.5313058841438537,0.014244386234195336,test
TCGA-E9-A1R5,2.5667219161987305,1.206180214881897,1.2722480297088623,-1.495199203491211,-2.451378107070923,-0.6909826993942261,2.913078546524048,-1.5608668327331543,-0.3883436620235443,0.9185464978218079,train
TCGA-E9-A1NG,-2.1267006397247314,0.678792417049408,-3.820650100708008,-1.4318592548370361,-2.592789888381958,-1.706634283065796,-2.0783908367156982,-0.5377978682518005,0.49881231784820557,-0.3610566556453705,train
TCGA-BH-A0E1,-1.1708091497421265,2.49027156829834,-2.139096736907959,-0.21077339351177216,-2.4921443462371826,1.094420313835144,1.4298312664031982,1.375833511352539,-1.669333815574646,0.30294618010520935,train
TCGA-AR-A2LN,-0.3727695941925049,2.046264171600342,-4.319328784942627,3.8599023818969727,1.4776853322982788,-1.2926393747329712,-0.16935783624649048,0.195846825838089,-1.216943383216858,-0.02101912908256054,train
TCGA-C8-A273,0.7388167909882125,1.370773185705203,-0.23398126991968868,-0.7192267033066431,0.12366169380453722,1.0987322910361323,-1.3862180435472375,-0.1749899983487019,0.7418665948042812,0.5814340560145977,test
TCGA-E9-A227,-2.119770050048828,2.2074787616729736,0.9213006496429443,0.14742350578308105,0.059464626014232635,-0.08377303928136826,-2.6421775817871094,-0.7156439423561096,-1.5605052709579468,0.04766598716378212,train
TCGA-E9-A247,3.510148048400879,1.286271572113037,2.1737513542175293,-1.010624885559082,-2.7156922817230225,2.1702778339385986,2.9943556785583496,0.26962098479270935,0.2112087458372116,0.4356941282749176,train
TCGA-E9-A5UP,1.9633036851882935,1.6073442697525024,-0.4026396870613098,-4.031287670135498,-4.6741623878479,0.23792965710163116,1.7081795930862427,-0.6774134039878845,-2.591768980026245,0.01234366837888956,train
TCGA-A2-A0EU,0.8773010488036816,1.9233254198913332,-1.3687497957965415,0.30822905073564516,-1.1433886572183078,0.8866296706172836,-0.5281178070076916,-0.29824885288499897,0.3663787923678474,0.705688590452111,test
TCGA-AR-A1AL,-0.9087845683097839,2.2331297397613525,-2.385441541671753,2.8045876026153564,-0.5910446047782898,-0.6153997182846069,-0.6042163372039795,1.3329312801361084,-0.6998138427734375,-0.45671340823173523,train
TCGA-BH-A1ET,0.36231324076652527,2.9538164138793945,1.1455596685409546,0.12908793985843658,-0.2710334360599518,-0.5977644324302673,-3.1928818225860596,0.5186806321144104,0.5081191658973694,0.8229336738586426,train
TCGA-BH-A0B6,0.5099383592605591,0.9925356507301331,-0.364681214094162,-1.0817183256149292,5.480919361114502,-0.6023222208023071,0.22855128347873688,-0.4054426848888397,-0.171028271317482,-0.15732869505882263,train
TCGA-A2-A25D,1.2929574251174927,0.7842196822166443,0.6906575560569763,-0.10261732339859009,2.2580864429473877,0.02346762642264366,1.0714471340179443,-0.9993354082107544,-0.8459450602531433,0.3647494912147522,train
TCGA-BH-A42V,0.5862261056900024,1.6920431852340698,0.3832587003707886,3.0379552841186523,0.16651247441768646,0.3891311585903168,1.2370951175689697,1.2904722690582275,1.0492374897003174,-0.4387277066707611,train
TCGA-AC-A5XS,0.7738139033317566,0.8960084915161133,0.6097444891929626,0.7095309495925903,2.106243133544922,-0.9445114731788635,-1.5338292121887207,-0.27604085206985474,0.9412899613380432,-1.0466185808181763,train
TCGA-D8-A1XG,-2.071847438812256,2.240823745727539,1.2291854619979858,-1.6337275505065918,-5.065798282623291,2.5582332611083984,0.7329989075660706,0.9272581338882446,-1.5831873416900635,-0.6750426292419434,train
TCGA-D8-A27E,-3.3623344898223877,2.9543890953063965,0.38614580035209656,-2.6699302196502686,-1.9699288606643677,2.0335230827331543,-0.40450456738471985,-1.3289364576339722,-0.9180164933204651,-0.6619358062744141,train
TCGA-C8-A26Z,1.1497953266480507,1.7154492029035524,0.16874269070504422,-1.6457565941369314,-0.33264564620551357,1.4579620396740889,-2.810173850738064,-0.07212322430691855,1.9133980033541373,1.405535132560157,test
TCGA-GM-A3XG,-2.8598508834838867,1.3680570125579834,-2.4541256427764893,3.045255184173584,-4.540177822113037,0.1691233217716217,1.7240426540374756,3.1017496585845947,0.7728288173675537,-0.8047150373458862,train
